estimated_owners,rating,game_name,developer,publisher
200000,84.63,F1™ 2017,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive, Electronic Arts"
20000,90.50,Hentai Girl Karen,GirlGames,GirlGames
200000,62.73,Ylands,Bohemia Interactive,Bohemia Interactive
20000,83.48,ISEKAI QUEST,Studio Ginkgo,Studio Ginkgo
500000,87.56,Quern - Undying Thoughts,Zadbox Entertainment,"Blue Brain Games, Zadbox Entertainment"
200000,81.71,Keplerth,TARO,Gamirror Games
200000,90.54,Dungeons of Dredmor,Gaslamp Games Inc.,Gaslamp Games Inc.
200000,91.35,SHENZHEN I/O,Zachtronics,Zachtronics
200000,86.18,Let's Build a Zoo,Springloaded,No More Robots
20000,88.81,Escape Simulator 2,Pine Studio,Pine Studio
20000,78.60,Road to Vostok,Road to Vostok Ltd.,Road to Vostok Ltd.
200000,90.92,The Darkside Detective,Spooky Doorway,Akupara Games
500000,84.66,Tom Clancy's Splinter Cell®,Ubisoft,Ubisoft
200000,64.68,METAL GEAR SURVIVE,KONAMI,KONAMI
20000,95.25,Strange Jigsaws,FLEB,FLEB
1000000,88.29,We Were Here Expeditions: The FriendShip,Total Mayhem Games,Total Mayhem Games
50000,71.89,Hollywood Animal,Weappy Wholesome,Weappy Studio
200000,78.70,Gladiator Guild Manager,Entertainment Forge,"GrabTheGames, Gamirror Games, UpgradePoint"
200000,87.04,Nexomon: Extinction,VEWO Interactive Inc.,"PQube, VEWO Interactive Inc."
20000,95.58,Kabuto Park,"Doot, Zakku",Doot Tiny Games
100000,83.03,Out of Ore,North Modding Company AB,North Modding Company AB
50000,69.23,Wild Assault,Combat Cat Studio,Combat Cat Studio
100000,88.54,KARMA: The Dark World,POLLARD STUDIO LLC,"Wired Productions, Gamirror Games"
100000,82.93,Tales of the Neon Sea,YiTi Games,Thermite Games
100000,94.06,Your Turn To Die -Death Game By Majority-,Nankidai,0UP GAMES
200000,73.67,OutDrive,DNVR Prod,DNVR Prod
100000,80.89,Star Traders: Frontiers,Trese Brothers,Trese Brothers
500000,81.22,Owlboy,D-Pad Studio,D-Pad Studio
100000,79.96,Punch Club 2: Fast Forward,Lazy Bear Games,tinyBuild
200000,87.85,Beholder: Conductor,Alawar,Alawar
200000,65.76,Fear Therapy,Black Flag Studios,Black Flag Studios
100000,86.68,Press X to Not Die,All Seeing Eye Games,All Seeing Eye Games
200000,86.30,Maximum Action,George Mandell,Balloon Moose Games
100000,80.21,The Bloodline,Shieldbearer Studios,505 Pulse
200000,92.89,Voidigo,semiwork,semiwork
50000,93.86,The Legend of Heroes: Trails in the Sky SC,Nihon Falcom,"XSEED Games, Marvelous USA Inc."
20000,85.72,Mycopunk,Pigeons at Play,Devolver Digital
200000,91.17,ScooterFlow,Dillon Earle,UncannyKiwi
200000,90.35,Roots of Pacha,Soda Den,Soda Den
100000,88.68,Realm of Ink,Leap Studio,4Divinity
20000,93.53,候鸟,KIDFansClub,Syawase Works China
200000,91.34,GemCraft - Chasing Shadows,Game in a Bottle,Armor Games Studios
200000,88.25,"Guns, Gore & Cannoli","Rogueside, Claeysbrothers",Rogueside
200000,91.09,APE OUT,"Gabe Cuzzillo, Bennett Foddy, Maxi Boch",Devolver Digital
20000,89.94,CHAOS;CHILD,MAGES. Inc.,Spike Chunsoft Co. Ltd.
200000,80.53,The Thaumaturge,Fool's Theory,11 bit studios
50000,89.43,Hentai Girl Hime,GirlGames,GirlGames
200000,94.24,Just a To the Moon Series Beach Episode,Freebird Games,Freebird Games
200000,90.46,Reassembly,Anisoptera Games,Indie Voyage
200000,92.18,Birth,Madison Karrh,Madison Karrh
500000,84.19,Wargame: Airland Battle,Eugen Systems,Eugen Systems
200000,87.74,En Garde!,Fireplace Games,"Fireplace Games, Kepler Ghost"
200000,90.58,Pistol Whip,Cloudhead Games Ltd.,Cloudhead Games Ltd.
1000000,79.60,Hitman 2: Silent Assassin,Io-Interactive A/S,Io-Interactive A/S
100000,92.93,Fluffy Store,AsicxArt,SakuraGame
